arquivo,diretorio,fontes_relacionadas,descricao,num_registros,num_colunas,tamanho_bytes,ultima_atualizacao
datajud/datajud_contexto_domestico.parquet,datajud,CNJ/Datajud -- processos de violência contra a mulher,Metadados processuais do CNJ para mensuração da judicialização de casos de violência contra a mulher e feminicídio.,3067563,28,160212590,2026-08-04 13:44:13
datajud/datajud_feminicidio.parquet,datajud,CNJ/Datajud -- processos de violência contra a mulher,Metadados processuais do CNJ para mensuração da judicialização de casos de violência contra a mulher e feminicídio.,45089,27,2666771,2026-08-04 13:44:24
datajud/datajud_violencia_genero.parquet,datajud,CNJ/Datajud -- processos de violência contra a mulher,Metadados processuais do CNJ para mensuração da judicialização de casos de violência contra a mulher e feminicídio.,499862,27,27667755,2026-08-04 13:44:59
datasen/pn_violencia_domestica_2005.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",815,26,39267,2026-08-04 13:45:02
datasen/pn_violencia_domestica_2007.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",797,22,34435,2026-08-04 13:45:02
datasen/pn_violencia_domestica_2009.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",827,69,106097,2026-08-04 13:45:03
datasen/pn_violencia_domestica_2011.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",1352,67,108349,2026-08-04 13:45:04
datasen/pn_violencia_domestica_2013.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",1248,66,101353,2026-08-04 13:45:05
datasen/pn_violencia_domestica_2015.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",1102,66,96000,2026-08-04 13:45:06
datasen/pn_violencia_domestica_2017.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",1116,91,136333,2026-08-04 13:45:07
datasen/pn_violencia_domestica_2019.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",2400,124,234169,2026-08-04 13:45:08
datasen/pn_violencia_domestica_2021.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",3000,103,260908,2026-08-04 13:45:09
datasen/pn_violencia_domestica_2023.parquet,datasen,DataSenado -- Pesquisa Violência Doméstica e Familiar (PNVD),"Dados da Pesquisa Nacional sobre Violência Doméstica e Familiar (PNVD), realizada bienalmente pelo DataSenado.",21787,118,1182488,2026-08-04 13:45:15
datasus_sim/proxy_sim_feminicidio.parquet,datasus_sim,SIM/DATASUS -- óbitos femininos por agressão (CID-10 X85-Y09),"Registros de mortalidade do SIM com foco em óbitos femininos por agressão, atuando como proxy para feminicídios.",122323,18,2098277,2026-08-27 10:38:59
datasus_sinan/sinan_violencia_mulher.parquet,datasus_sinan,SINAN/DATASUS -- violência interpessoal contra mulheres (ficha VIOL),"Notificações de violência interpessoal não fatal contra mulheres em serviços de saúde, detalhando a relação vítima-agressor.",2814808,47,63471627,2026-08-27 10:50:00
ibge/pns_proxy_violencia_desconhecido_2013.parquet,ibge,PNS/IBGE -- mulheres vítimas de violência (2013 e 2019),Microdados da Pesquisa Nacional de Saúde sobre mulheres vítimas de violência (edições 2013 e 2019).,1042,20,37130,2026-08-04 13:46:01
ibge/pns_violencia_domestica_2013.parquet,ibge,PNS/IBGE -- mulheres vítimas de violência (2013 e 2019),Microdados da Pesquisa Nacional de Saúde sobre mulheres vítimas de violência (edições 2013 e 2019).,1197,22,42934,2026-08-04 13:46:02
ibge/pns_violencia_domestica_2019.parquet,ibge,PNS/IBGE -- mulheres vítimas de violência (2013 e 2019),Microdados da Pesquisa Nacional de Saúde sobre mulheres vítimas de violência (edições 2013 e 2019).,10881,35,257286,2026-08-04 13:46:03
macroregiao/geo_macroregiao.parquet,macroregiao,Macrorregião e Região de Saúde (Ministério da Saúde),Mapeamento geográfico de macrorregiões e regiões de saúde do Ministério da Saúde.,5570,17,276371,2026-08-04 13:46:05
